,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
0,MO,Median Income,7233,Emb,0,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
1,MO,Median Income,7233,Emb,1,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
2,MO,Median Income,7233,Emb,2,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
3,MO,Median Income,7233,Emb,3,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
4,MO,Median Income,7233,Emb,4,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
5,MO,Median Income,7233,Emb,5,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
6,MO,Median Income,7233,Emb,6,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
7,MO,Median Income,7233,Emb,7,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
8,MO,Median Income,7233,Emb,8,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
9,MO,Median Income,7233,Emb,9,0.24711097369862492,0.25731261498815095,0.12795080261107414,0.24669609237572068
10,MO,Median Income,7233,LightGCN,0,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
11,MO,Median Income,7233,LightGCN,1,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
12,MO,Median Income,7233,LightGCN,2,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
13,MO,Median Income,7233,LightGCN,3,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
14,MO,Median Income,7233,LightGCN,4,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
15,MO,Median Income,7233,LightGCN,5,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
16,MO,Median Income,7233,LightGCN,6,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
17,MO,Median Income,7233,LightGCN,7,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
18,MO,Median Income,7233,LightGCN,8,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
19,MO,Median Income,7233,LightGCN,9,0.22624551324775233,0.22534301305350612,0.11571996797397961,0.21442226700861755
