,urban_area,target_variable,macroentity,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_r2,val_r2,test_r2,train_to_test_r2,train_mae,val_mae,test_mae,train_to_test_mae
0,Philadelphia,Median Income,zip,14992,189,1472,Emb,0,0.9972339868545532,0.13659334182739258,0.1152198314666748,0.46235132217407227,0.05625992640852928,0.5761384963989258,1.0480859279632568,0.7350523471832275
1,Philadelphia,Median Income,zip,14992,189,1472,Emb,1,0.9982625842094421,0.05316901206970215,0.04785710573196411,0.46235132217407227,0.04474419355392456,0.5721471905708313,1.0787357091903687,0.7350523471832275
2,Philadelphia,Median Income,zip,14992,189,1472,Emb,2,0.9970261454582214,0.004899263381958008,0.09910774230957031,0.46235132217407227,0.05749543383717537,0.6151939630508423,1.0579309463500977,0.7350523471832275
3,Philadelphia,Median Income,zip,14992,189,1472,Emb,3,0.9992562532424927,0.008952081203460693,0.15418750047683716,0.46235132217407227,0.028501328080892563,0.6030634641647339,1.0148509740829468,0.7350523471832275
4,Philadelphia,Median Income,zip,14992,189,1472,Emb,4,0.9993689060211182,-0.09544336795806885,0.011395692825317383,0.46235132217407227,0.026860522106289864,0.6274006366729736,1.1239385604858398,0.7350523471832275
5,Philadelphia,Median Income,zip,14992,189,1472,Emb,5,0.9999456405639648,0.19542747735977173,0.1425701379776001,0.46235132217407227,0.005817965138703585,0.5470567345619202,1.0219517946243286,0.7350523471832275
6,Philadelphia,Median Income,zip,14992,189,1472,Emb,6,0.9997995495796204,0.13339293003082275,0.11012661457061768,0.46235132217407227,0.014085736125707626,0.5922970771789551,1.0482797622680664,0.7350523471832275
7,Philadelphia,Median Income,zip,14992,189,1472,Emb,7,0.9969567656517029,-0.0021539926528930664,0.04936933517456055,0.46235132217407227,0.057569656521081924,0.618941605091095,1.0926544666290283,0.7350523471832275
8,Philadelphia,Median Income,zip,14992,189,1472,Emb,8,0.9994595646858215,0.11330419778823853,0.1303706169128418,0.46235132217407227,0.02374575473368168,0.5756794214248657,1.0328683853149414,0.7350523471832275
9,Philadelphia,Median Income,zip,14992,189,1472,Emb,9,0.9960147142410278,0.3460487127304077,0.12308275699615479,0.46235132217407227,0.06521737575531006,0.5002653002738953,1.0468212366104126,0.7350523471832275
10,Philadelphia,Median Income,zip,14992,189,1472,LightGCN,0,0.9859126210212708,0.2675241231918335,0.3183974623680115,0.46235132217407227,0.10551004111766815,0.5248363614082336,0.8752861022949219,0.7350523471832275
11,Philadelphia,Median Income,zip,14992,189,1472,LightGCN,1,0.9835956692695618,0.11672300100326538,0.31668931245803833,0.46235132217407227,0.12593300640583038,0.5781940817832947,0.8726806640625,0.7350523471832275
12,Philadelphia,Median Income,zip,14992,189,1472,LightGCN,2,0.9928221702575684,0.2902759909629822,0.31788432598114014,0.46235132217407227,0.07909224182367325,0.5333477258682251,0.8851029872894287,0.7350523471832275
13,Philadelphia,Median Income,zip,14992,189,1472,LightGCN,3,0.9961405992507935,0.2032448649406433,0.3028160333633423,0.46235132217407227,0.05049091577529907,0.5414475798606873,0.8898944854736328,0.7350523471832275
14,Philadelphia,Median Income,zip,14992,189,1472,LightGCN,4,0.9957324266433716,0.19376176595687866,0.27499765157699585,0.46235132217407227,0.058317430317401886,0.5533007383346558,0.9196065068244934,0.7350523471832275
