Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatAndBGLightGCN,0,0.0223461352288723,0.012645495124161243,0.08480264991521835,0.04703286290168762
FeatAndBGLightGCN,1,0.022448591887950897,0.012757556512951851,0.08496871590614319,0.047152452170848846
FeatAndBGLightGCN,2,0.022371806204319,0.012773041613399982,0.08527740091085434,0.0472000427544117
FeatAndBGLightGCN,3,0.022020770236849785,0.012585590593516827,0.08407817035913467,0.04648277536034584
FeatAndBGLightGCN,4,0.02218574285507202,0.012639297172427177,0.08444017916917801,0.04673240706324577
FeatAndBGLightGCN,5,0.02227540872991085,0.012682159431278706,0.0842556431889534,0.046842921525239944
FeatAndBGLightGCN,6,0.02270762249827385,0.012835529632866383,0.08557452261447906,0.047535985708236694
FeatAndBGLightGCN,7,0.02232804335653782,0.012666665948927402,0.08494531363248825,0.04696319252252579
FeatAndBGLightGCN,8,0.022531500086188316,0.012903177179396152,0.08631221950054169,0.04765881597995758
FeatAndBGLightGCN,9,0.02286744862794876,0.012748261913657188,0.0854085236787796,0.047680698335170746
