Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatAndPCLightGCN,0,0.023991579189896584,0.013468111865222454,0.09026848524808884,0.050250642001628876
FeatAndPCLightGCN,1,0.02414155751466751,0.013446426019072533,0.09017235785722733,0.050297811627388
FeatAndPCLightGCN,2,0.023467155173420906,0.01345779001712799,0.09008503705263138,0.049663323909044266
FeatAndPCLightGCN,3,0.023958122357726097,0.01334417425096035,0.08969007432460785,0.050029877573251724
FeatAndPCLightGCN,4,0.024089563637971878,0.013425769284367561,0.09026669710874557,0.050235144793987274
FeatAndPCLightGCN,5,0.023893482983112335,0.013363288715481758,0.0894632339477539,0.049923282116651535
FeatAndPCLightGCN,6,0.024005018174648285,0.013386004604399204,0.09003669023513794,0.050136346369981766
FeatAndPCLightGCN,7,0.023295236751437187,0.013266202993690968,0.08876630663871765,0.049153175204992294
FeatAndPCLightGCN,8,0.023742876946926117,0.013479985296726227,0.0906989723443985,0.05006490275263786
FeatAndPCLightGCN,9,0.023906534537672997,0.013372060842812061,0.08980018645524979,0.05000484734773636
