Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatAndEmbAndBG,0,0.009594264440238476,0.0072083668783307076,0.04649550840258598,0.023299871012568474
FeatAndEmbAndBG,1,0.009340116754174232,0.007121092174202204,0.04597880691289902,0.022921079769730568
FeatAndEmbAndBG,2,0.010931253433227539,0.008037179708480835,0.05188634991645813,0.02625800296664238
FeatAndEmbAndBG,3,0.011264296248555183,0.008167829364538193,0.05198905989527702,0.026715580374002457
FeatAndEmbAndBG,4,0.010549922473728657,0.007680350914597511,0.049787867814302444,0.02517002634704113
FeatAndEmbAndBG,5,0.010413067415356636,0.007825976237654686,0.05032374709844589,0.025283537805080414
FeatAndEmbAndBG,6,0.010877181775867939,0.008016523905098438,0.05166817829012871,0.026197217404842377
FeatAndEmbAndBG,7,0.010776390321552753,0.008029952645301819,0.051290228962898254,0.025995006784796715
FeatAndEmbAndBG,8,0.010276982560753822,0.00770462304353714,0.04984753578901291,0.025006458163261414
FeatAndEmbAndBG,9,0.010529452003538609,0.007878645323216915,0.05052558332681656,0.0255484189838171
