,urban_area,target_variable,target_entity,num_datapoints,num_entities,model_embeddings,trial,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse
0,Philadelphia,Median Income,bg,29555,2816,Emb,0,0.9290410876274109,-0.12880635261535645,-0.07185840606689453,0.060137055814266205,1.0715243816375732,0.9597786068916321
1,Philadelphia,Median Income,bg,29555,2816,Emb,1,0.944063663482666,-0.05191457271575928,0.07485562562942505,0.047405585646629333,0.9985345005989075,0.8284057974815369
2,Philadelphia,Median Income,bg,29555,2816,Emb,2,0.9283791184425354,-0.16046059131622314,-0.10776257514953613,0.06069808825850487,1.1015723943710327,0.9919283986091614
3,Philadelphia,Median Income,bg,29555,2816,Emb,3,0.9404212236404419,-0.002158522605895996,0.031167268753051758,0.05049252137541771,0.9513033628463745,0.8675258755683899
4,Philadelphia,Median Income,bg,29555,2816,Emb,4,0.9557151794433594,-0.044748663902282715,0.005248546600341797,0.03753102570772171,0.9917322993278503,0.8907344341278076
5,Philadelphia,Median Income,bg,29555,2816,Emb,5,0.943755030632019,-0.062145113945007324,-0.0973883867263794,0.04766715690493584,1.0082459449768066,0.982638955116272
6,Philadelphia,Median Income,bg,29555,2816,Emb,6,0.9521542191505432,-0.08443677425384521,-0.0740746259689331,0.040548909455537796,1.0294064283370972,0.9617630839347839
7,Philadelphia,Median Income,bg,29555,2816,Emb,7,0.9404008388519287,-0.1850719451904297,-0.043163299560546875,0.05050976201891899,1.1249347925186157,0.9340839982032776
8,Philadelphia,Median Income,bg,29555,2816,Emb,8,0.9602598547935486,-0.018162012100219727,-0.011873483657836914,0.03367943689227104,0.9664948582649231,0.9060660600662231
9,Philadelphia,Median Income,bg,29555,2816,Emb,9,0.9498839378356934,-0.049143195152282715,-0.07302713394165039,0.04247292876243591,0.9959037899971008,0.9608250856399536
10,Philadelphia,Median Income,bg,29555,2816,RGNN,0,0.5717328786849976,0.3772224187850952,0.36347317695617676,0.36295273900032043,0.5911743640899658,0.5699678063392639
11,Philadelphia,Median Income,bg,29555,2816,RGNN,1,0.6026667356491089,0.36626648902893066,0.3171157240867615,0.3367365598678589,0.6015743017196655,0.6114779114723206
12,Philadelphia,Median Income,bg,29555,2816,RGNN,2,0.5480287075042725,0.38135915994644165,0.3807802200317383,0.3830418288707733,0.5872475504875183,0.5544705390930176
13,Philadelphia,Median Income,bg,29555,2816,RGNN,3,0.6537009477615356,0.3563855290412903,0.2644529342651367,0.29348552227020264,0.6109538674354553,0.6586339473724365
14,Philadelphia,Median Income,bg,29555,2816,RGNN,4,0.5500177145004272,0.37618231773376465,0.32089418172836304,0.3813561201095581,0.5921616554260254,0.6080945134162903
15,Philadelphia,Median Income,bg,29555,2816,RGNN,5,0.6174829602241516,0.37558048963546753,0.29765528440475464,0.3241799473762512,0.5927330255508423,0.6289034485816956
16,Philadelphia,Median Income,bg,29555,2816,RGNN,6,0.6258926391601562,0.347331702709198,0.29686659574508667,0.31705281138420105,0.6195482611656189,0.6296096444129944
17,Philadelphia,Median Income,bg,29555,2816,RGNN,7,0.6250097751617432,0.3648899793624878,0.30245983600616455,0.31780099868774414,0.6028810143470764,0.6246012449264526
18,Philadelphia,Median Income,bg,29555,2816,RGNN,8,0.6808160543441772,0.2919614315032959,0.25868892669677734,0.2705056369304657,0.6721087098121643,0.6637951731681824
19,Philadelphia,Median Income,bg,29555,2816,RGNN,9,0.6279320120811462,0.3913228511810303,0.297973096370697,0.31532445549964905,0.5777894854545593,0.6286188364028931
20,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,0,0.502388596534729,0.3318275809288025,0.345653235912323,0.4217214584350586,0.634265661239624,0.5859243869781494
21,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,1,0.5702387094497681,0.3733062744140625,0.36178869009017944,0.3642190098762512,0.5948917865753174,0.57147616147995
22,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,2,0.5516151189804077,0.3553715944290161,0.3875007629394531,0.38000234961509705,0.6119163632392883,0.5484527349472046
23,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,3,0.5494996905326843,0.19460469484329224,0.1790388822555542,0.38179516792297363,0.7645250558853149,0.7351165413856506
24,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,4,0.5721336603164673,0.37139207124710083,0.3833894729614258,0.36261308193206787,0.5967088341712952,0.552134096622467
25,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,5,0.6439118385314941,0.3245623707771301,0.3298038840293884,0.30178168416023254,0.6411621570587158,0.600116491317749
26,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,6,0.5183384418487549,0.37022125720977783,0.34623855352401733,0.40820401906967163,0.5978202819824219,0.5854002833366394
27,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,7,0.5222922563552856,0.32535427808761597,0.3032175302505493,0.4048531949520111,0.6404104828834534,0.6239227652549744
28,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,8,0.6445705890655518,0.26978975534439087,0.24870121479034424,0.30122342705726624,0.6931552886962891,0.6727386116981506
29,Philadelphia,Median Income,bg,29555,2816,Feat-RGNN,9,0.6265317797660828,0.3544958233833313,0.3147052526473999,0.3165111243724823,0.6127477288246155,0.613636314868927
30,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,0,0.7106565237045288,0.38519561290740967,0.314441442489624,0.24521610140800476,0.5836058259010315,0.6138725280761719
31,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,1,0.6062840223312378,0.42727041244506836,0.3595772981643677,0.3336709141731262,0.5436661243438721,0.573456346988678
32,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,2,0.63592529296875,0.3752996325492859,0.2834808826446533,0.30855023860931396,0.5929995775222778,0.6415956616401672
33,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,3,0.6491774916648865,0.37358492612838745,0.290513277053833,0.29731908440589905,0.5946272611618042,0.6352986097335815
34,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,4,0.6120198965072632,0.32103049755096436,0.2760484218597412,0.32880982756614685,0.644514799118042,0.648250937461853
35,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,5,0.7349740266799927,0.254447340965271,0.2820703387260437,0.22460724413394928,0.7077191472053528,0.6428587436676025
36,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,6,0.5688154697418213,0.3070096969604492,0.35365593433380127,0.3654251992702484,0.6578240990638733,0.5787585377693176
37,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,7,0.7039117813110352,0.3740614056587219,0.31657862663269043,0.2509322166442871,0.5941749811172485,0.6119588017463684
38,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,8,0.6141308546066284,0.37821829319000244,0.2555946707725525,0.3270207941532135,0.5902290344238281,0.6665658950805664
39,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-RGNN,9,0.5587735772132874,0.3669530153274536,0.3228532075881958,0.37393561005592346,0.6009226441383362,0.6063403487205505
40,Philadelphia,Median Income,bg,29555,2816,LightGCN,0,0.8003160953521729,0.3003033995628357,0.2719079256057739,0.1692304015159607,0.6641901135444641,0.6519584655761719
41,Philadelphia,Median Income,bg,29555,2816,LightGCN,1,0.7652228474617004,0.29631781578063965,0.2370796799659729,0.19897164404392242,0.6679733991622925,0.6831448674201965
42,Philadelphia,Median Income,bg,29555,2816,LightGCN,2,0.8163226246833801,0.31129300594329834,0.2705311179161072,0.15566501021385193,0.65375816822052,0.653191328048706
43,Philadelphia,Median Income,bg,29555,2816,LightGCN,3,0.8117721080780029,0.2772507071495056,0.30540406703948975,0.15952152013778687,0.6860729455947876,0.6219649314880371
44,Philadelphia,Median Income,bg,29555,2816,LightGCN,4,0.7862944602966309,0.2969357967376709,0.2956002354621887,0.181113600730896,0.6673868298530579,0.6307435631752014
45,Philadelphia,Median Income,bg,29555,2816,LightGCN,5,0.7984139919281006,0.30085545778274536,0.26509642601013184,0.17084240913391113,0.6636660695075989,0.6580577492713928
46,Philadelphia,Median Income,bg,29555,2816,LightGCN,6,0.7909324765205383,0.37349212169647217,0.282159686088562,0.17718292772769928,0.594715416431427,0.6427786946296692
47,Philadelphia,Median Income,bg,29555,2816,LightGCN,7,0.8108776807785034,0.3156442642211914,0.21061497926712036,0.1602795422077179,0.649627685546875,0.706842303276062
48,Philadelphia,Median Income,bg,29555,2816,LightGCN,8,0.7882674932479858,0.1984652876853943,0.17424029111862183,0.17944148182868958,0.7608603835105896,0.7394134402275085
49,Philadelphia,Median Income,bg,29555,2816,LightGCN,9,0.8146569728851318,0.27039146423339844,0.2003999948501587,0.1570766270160675,0.6925841569900513,0.7159891128540039
50,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,0,0.864585816860199,0.22488558292388916,0.26925307512283325,0.11476237326860428,0.7357807755470276,0.6543357372283936
51,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,1,0.8710925579071045,0.26758885383605957,0.2799926996231079,0.10924796015024185,0.695244550704956,0.644719123840332
52,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,2,0.836699366569519,0.30483245849609375,0.2974050045013428,0.13839587569236755,0.65989089012146,0.6291275024414062
53,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,3,0.8569449782371521,0.3455107808113098,0.2882195711135864,0.12123791873455048,0.6212767958641052,0.637352466583252
54,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,4,0.8565227389335632,0.23425298929214478,0.267764151096344,0.12159574776887894,0.7268887162208557,0.6556689739227295
55,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,5,0.8711718916893005,0.2578834891319275,0.2125263810157776,0.10918072611093521,0.7044573426246643,0.7051306962966919
56,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,6,0.8743475079536438,0.26213639974594116,0.3208749294281006,0.106489397585392,0.7004202604293823,0.6081117391586304
57,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,7,0.8971678614616394,0.3028997778892517,0.2578509449958801,0.08714936673641205,0.6617255210876465,0.6645455956459045
58,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,8,0.8415704965591431,0.20111316442489624,0.26411646604537964,0.1342676430940628,0.7583468556404114,0.6589352488517761
59,Philadelphia,Median Income,bg,29555,2816,Feat-LightGCN,9,0.8447760343551636,0.25446200370788574,0.24926960468292236,0.13155098259449005,0.7077052593231201,0.6722296476364136
60,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,0,0.9057040810585022,0.27109426259994507,0.196647047996521,0.07991497963666916,0.6919169425964355,0.7193496227264404
61,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,1,0.9031499624252319,0.2539600729942322,0.17814821004867554,0.08207960426807404,0.7081816792488098,0.7359141111373901
62,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,2,0.9010758399963379,0.24336719512939453,0.20679759979248047,0.08383740484714508,0.718237042427063,0.7102605104446411
63,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,3,0.9194658994674683,0.32607728242874146,0.29758650064468384,0.06825195252895355,0.6397241353988647,0.6289650201797485
64,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,4,0.9165425896644592,0.29235541820526123,0.3222038149833679,0.07072946429252625,0.6717347502708435,0.6069218516349792
65,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,5,0.9025396108627319,0.30967438220977783,0.2947230339050293,0.08259686082601547,0.65529465675354,0.6315290331840515
66,Philadelphia,Median Income,bg,29555,2816,Feat\&PC-LightGCN,6,0.9042164087295532,0.32672667503356934,0.25196826457977295,0.0811757743358612,0.6391077041625977,0.6698130965232849
