,urban_area,target_variable,macroentity,n_quantiles,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_f1,val_f1,test_f1,train_to_test_f1,train_auc,val_auc,test_auc,train_to_test_auc
0,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,0,1.0,0.325,0.327445652173913,0.4436141304347826,1.0,0.6937820384140949,0.6332609368781783,0.6521549329481726
1,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,1,1.0,0.275,0.3233695652173913,0.4436141304347826,1.0,0.6361834793790438,0.6352190156960968,0.6521549329481726
2,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,2,1.0,0.275,0.343070652173913,0.4436141304347826,1.0,0.5909471297072103,0.6216386416344198,0.6521549329481726
3,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,3,1.0,0.475,0.3335597826086957,0.4436141304347826,1.0,0.707545864753526,0.6342120576484277,0.6521549329481726
4,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,4,1.0,0.425,0.3423913043478261,0.4436141304347826,1.0,0.670660595005353,0.6509383615390558,0.6521549329481726
5,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,5,1.0,0.325,0.33627717391304346,0.4436141304347826,1.0,0.6703616304170739,0.62905925534135,0.6521549329481726
6,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,6,1.0,0.325,0.34375,0.4436141304347826,1.0,0.7020256932807335,0.6463626848067524,0.6521549329481726
7,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,7,1.0,0.325,0.343070652173913,0.4436141304347826,1.0,0.6000594219848251,0.6411771634526031,0.6521549329481726
8,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,8,1.0,0.35,0.33967391304347827,0.4436141304347826,1.0,0.7039066863915654,0.6512636343664748,0.6521549329481726
9,Philadelphia,Median Income,zip,5,14992,189,1472,Emb,9,1.0,0.225,0.34375,0.4436141304347826,1.0,0.6177364805893031,0.6365761599691868,0.6521549329481726
10,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,0,1.0,0.525,0.389945652173913,0.4436141304347826,1.0,0.7955712438323325,0.6872157165579207,0.6521549329481726
11,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,1,1.0,0.45,0.3960597826086957,0.4436141304347826,1.0,0.7174721363985477,0.6867445136218038,0.6521549329481726
12,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,2,1.0,0.525,0.391304347826087,0.4436141304347826,1.0,0.7553585974956942,0.6927197702424036,0.6521549329481726
13,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,3,1.0,0.475,0.38383152173913043,0.4436141304347826,1.0,0.7609184442349765,0.6785259033607571,0.6521549329481726
14,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,4,1.0,0.45,0.4116847826086957,0.4436141304347826,1.0,0.7462035752106317,0.7154542535076531,0.6521549329481726
15,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,5,1.0,0.425,0.40964673913043476,0.4436141304347826,1.0,0.7493199564772146,0.6943743724191906,0.6521549329481726
16,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,6,1.0,0.45,0.40964673913043476,0.4436141304347826,1.0,0.7842804121281943,0.7008199920133198,0.6521549329481726
17,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,7,1.0,0.45,0.390625,0.4436141304347826,1.0,0.7281387463343109,0.6842255349752894,0.6521549329481726
18,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,8,1.0,0.55,0.41983695652173914,0.4436141304347826,1.0,0.8498340257412839,0.7177367930178764,0.6521549329481726
19,Philadelphia,Median Income,zip,5,14992,189,1472,LightGCN,9,1.0,0.375,0.39402173913043476,0.4436141304347826,1.0,0.671538760298841,0.6778348115231733,0.6521549329481726
20,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,0,1.0,0.55,0.38858695652173914,0.4436141304347826,1.0,0.7903656015803193,0.6972349549609207,0.6521549329481726
21,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,1,1.0,0.6,0.39809782608695654,0.4436141304347826,1.0,0.7796020763510683,0.7029167624372739,0.6521549329481726
22,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,2,1.0,0.475,0.4048913043478261,0.4436141304347826,1.0,0.7516057391309408,0.7015942553268946,0.6521549329481726
23,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,3,1.0,0.45,0.3892663043478261,0.4436141304347826,1.0,0.8433566293697341,0.6972050333395556,0.6521549329481726
24,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,4,1.0,0.45,0.405570652173913,0.4436141304347826,1.0,0.7305202078387563,0.7111759597644915,0.6521549329481726
25,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,5,1.0,0.45,0.405570652173913,0.4436141304347826,1.0,0.8103429528580739,0.7126586909752118,0.6521549329481726
26,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,6,1.0,0.5,0.4008152173913043,0.4436141304347826,1.0,0.7926496750337476,0.7051758149372251,0.6521549329481726
27,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,7,1.0,0.475,0.39334239130434784,0.4436141304347826,1.0,0.7752280509588978,0.6977577706841069,0.6521549329481726
28,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,8,1.0,0.45,0.4048913043478261,0.4436141304347826,1.0,0.7868462490690313,0.6988273971071052,0.6521549329481726
29,Philadelphia,Median Income,zip,5,14992,189,1472,Feat-LightGCN,9,1.0,0.325,0.38654891304347827,0.4436141304347826,1.0,0.7011785117883909,0.6962858381529384,0.6521549329481726
30,Philadelphia,Median Income,zip,5,14992,189,1472,Feat\&PC-LightGCN,0,1.0,0.425,0.406929347826087,0.4436141304347826,1.0,0.7629166812130521,0.6949945308990282,0.6521549329481726
31,Philadelphia,Median Income,zip,5,14992,189,1472,Feat\&PC-LightGCN,1,1.0,0.25,0.405570652173913,0.4436141304347826,1.0,0.6433978683726668,0.7157662264119905,0.6521549329481726
32,Philadelphia,Median Income,zip,5,14992,189,1472,Feat\&PC-LightGCN,2,1.0,0.325,0.4123641304347826,0.4436141304347826,1.0,0.5810455869175627,0.6753653517326448,0.6521549329481726
33,Philadelphia,Median Income,zip,5,14992,189,1472,Feat\&PC-LightGCN,3,1.0,0.2,0.38858695652173914,0.4436141304347826,1.0,0.614792401259135,0.6781672268188258,0.6521549329481726
