Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
NoEdges,0,7.182465196819976e-05,4.1828028770396486e-05,0.00032082939287647605,0.00016096243052743375
NoEdges,1,0.00015215942403301597,0.00010482833749847487,0.0007352753309533,0.0003710575692821294
NoEdges,2,0.00014944518625270575,0.00010895950254052877,0.0006798929534852505,0.0003629505226854235
NoEdges,3,0.00012511387467384338,0.0001079267094610259,0.0006657441845163703,0.0003310167812742293
NoEdges,4,0.00026996698579750955,0.0001890007988549769,0.0012610615231096745,0.0006411242065951228
NoEdges,5,0.00015216525935102254,7.797576836310327e-05,0.0005380900111049414,0.00030628920649178326
NoEdges,6,6.025476977811195e-05,3.9762442611390725e-05,0.00028097693575546145,0.0001428511313861236
NoEdges,7,0.00025478913448750973,0.00014097602979745716,0.0010713118826970458,0.0005539794219657779
NoEdges,8,0.0003900450246874243,0.00026542734121903777,0.0016913552535697818,0.0009080615127459168
NoEdges,9,0.00024532765382900834,0.00014045961142983288,0.0009808266768231988,0.0005216745194047689
