Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
NoFeatures,0,0.010086826980113983,0.007620449643582106,0.04718732461333275,0.024339750409126282
NoFeatures,1,0.009808659553527832,0.0074753426015377045,0.046955354511737823,0.023870250210165977
NoFeatures,2,0.009804178029298782,0.007447455078363419,0.0464794896543026,0.023836050182580948
NoFeatures,3,0.009548088535666466,0.007298733107745647,0.04547566920518875,0.023244114592671394
NoFeatures,4,0.009331007488071918,0.007297700736671686,0.04530462622642517,0.023013008758425713
NoFeatures,5,0.009205548092722893,0.007223340217024088,0.0454251691699028,0.022846264764666557
NoFeatures,6,0.009123251773416996,0.007224372588098049,0.04523733630776405,0.022752266377210617
NoFeatures,7,0.009732737205922604,0.007488251198083162,0.04648075997829437,0.02375355362892151
NoFeatures,8,0.009923350065946579,0.007652467116713524,0.04763434827327728,0.02426806464791298
NoFeatures,9,0.008924915455281734,0.007067391183227301,0.04397705942392349,0.022207025438547134
