Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
LightGCN,0,0.021407518535852432,0.01231706514954567,0.08228296041488647,0.04536156728863716
LightGCN,1,0.021558964625000954,0.012205526232719421,0.08194448798894882,0.04534757882356644
LightGCN,2,0.020864728838205338,0.012004133313894272,0.08055832237005234,0.044289737939834595
LightGCN,3,0.020927686244249344,0.012024789117276669,0.0806080624461174,0.04440172761678696
LightGCN,4,0.02127792499959469,0.012196746654808521,0.08176200836896896,0.04509090259671211
LightGCN,5,0.020749244838953018,0.012146135792136192,0.08090143650770187,0.04437023401260376
LightGCN,6,0.021172665059566498,0.012114637531340122,0.08156058192253113,0.04483884200453758
LightGCN,7,0.021132120862603188,0.012032531201839447,0.08053705096244812,0.04454711079597473
LightGCN,8,0.020927561447024345,0.012158017605543137,0.08158900588750839,0.04462069645524025
LightGCN,9,0.020915167406201363,0.01203976385295391,0.08091198652982712,0.04437002167105675
