,state,target_variable,num_datapoints,model_embeddings,trial,val_ROCAUC,train_ROCAUC_tract,test_ROCAUC_BG,train_to_test_ROCAUC_BG
55,MO,Median Income,9292,Feat\&BG-LightGCN,5,0.9674826672222416,1.0,0.8176001856722883,0.8127069472381248
56,MO,Median Income,9292,Feat\&BG-LightGCN,6,0.9750619051259066,1.0,0.8173835680024757,0.8127069472381248
57,MO,Median Income,9292,Feat\&BG-LightGCN,7,0.9736301036828481,0.9985017379839386,0.813677858579607,0.8127069472381248
58,MO,Median Income,9292,Feat\&BG-LightGCN,8,0.970492372910803,0.9994606256742179,0.814544329258858,0.8127069472381248
59,MO,Median Income,9292,Feat\&BG-LightGCN,9,0.9774234865224178,0.9997003475967877,0.8204316880705556,0.8127069472381248
60,MO,Median Income,9292,Feat\&BG-RGNN,0,0.6291609751580116,0.9996404171161453,0.7985223580380627,0.8127069472381248
61,MO,Median Income,9292,Feat\&BG-RGNN,1,0.6454956988873838,1.0,0.8093687142194027,0.8127069472381248
62,MO,Median Income,9292,Feat\&BG-RGNN,2,0.643425607539393,0.9989811818290782,0.7987776574346279,0.8127069472381248
63,MO,Median Income,9292,Feat\&BG-RGNN,3,0.6208881902596786,1.0,0.802963020269225,0.8127069472381248
64,MO,Median Income,9292,Feat\&BG-RGNN,4,0.6380452321917633,0.9997602780774302,0.8029707566145754,0.8127069472381248
65,MO,Median Income,9292,Feat\&BG-RGNN,5,0.6386263411924025,1.0,0.8069472381247099,0.8127069472381248
66,MO,Median Income,9292,Feat\&BG-RGNN,6,0.6422937673293816,1.0,0.7976713600495126,0.8127069472381248
67,MO,Median Income,9292,Feat\&BG-RGNN,7,0.6559306218655503,0.9995804866355028,0.8007581618443448,0.8127069472381248
68,MO,Median Income,9292,Feat\&BG-RGNN,8,0.6576670488898154,0.9990411123097207,0.797864768683274,0.8127069472381248
69,MO,Median Income,9292,Feat\&BG-RGNN,9,0.6261181135554043,0.9983818770226537,0.807016865232864,0.8127069472381248
70,MO,Median Home Value,9292,Emb,0,0.5825165977853554,0.9998801390387151,0.8936474855624672,0.8912292982484051
71,MO,Median Home Value,9292,Emb,1,0.5704714501153592,1.0,0.8946179423135053,0.8912292982484051
72,MO,Median Home Value,9292,Emb,2,0.573344280240832,1.0,0.8868781519958,0.8912292982484051
73,MO,Median Home Value,9292,Emb,3,0.569754607154071,0.9995205561548604,0.8929156657174221,0.8912292982484051
74,MO,Median Home Value,9292,Emb,4,0.6029654413234766,1.0,0.8823042779642681,0.8912292982484051
75,MO,Median Home Value,9292,Emb,5,0.5735424173543148,1.0,0.893957713540258,0.8912292982484051
76,MO,Median Home Value,9292,Emb,6,0.5799328254679095,1.0,0.8887554289896112,0.8912292982484051
77,MO,Median Home Value,9292,Emb,7,0.579551113018949,1.0,0.8918656633310531,0.8912292982484051
78,MO,Median Home Value,9292,Emb,8,0.5770180059899687,0.9982620160613688,0.8869974704487964,0.8912292982484051
79,MO,Median Home Value,9292,Emb,9,0.5727087138972073,0.9997602780774302,0.8872599710453887,0.8912292982484051
80,MO,Median Home Value,9292,LightGCN,0,0.6835576494403142,0.9992808342322905,0.8981815867763336,0.8912292982484051
81,MO,Median Home Value,9292,LightGCN,1,0.6775959479312084,0.9996404171161453,0.9013475030625069,0.8912292982484051
82,MO,Median Home Value,9292,LightGCN,2,0.7030091832390682,0.9997003475967877,0.8972588574064941,0.8912292982484051
83,MO,Median Home Value,9292,LightGCN,3,0.6931345554669952,0.9989212513484358,0.8936395309989341,0.8912292982484051
84,MO,Median Home Value,9292,LightGCN,4,0.6895427906607026,0.9991010427903632,0.8919849817840495,0.8912292982484051
85,MO,Median Home Value,9292,LightGCN,5,0.7068255627264244,0.9998202085580726,0.8997565903558872,0.8912292982484051
86,MO,Median Home Value,9292,LightGCN,6,0.682513933847689,0.9998202085580726,0.8923190734524398,0.8912292982484051
87,MO,Median Home Value,9292,LightGCN,7,0.6899343840068684,0.998681529425866,0.8971952208982295,0.8912292982484051
88,MO,Median Home Value,9292,LightGCN,8,0.6988970278689906,0.9987414599065084,0.8992634074168351,0.8912292982484051
89,MO,Median Home Value,9292,LightGCN,9,0.7016833692481064,0.9992209037516482,0.8981974959033997,0.8912292982484051
90,MO,Median Home Value,9292,RGNN,0,0.6295952670707169,1.0,0.9128020745501695,0.8912292982484051
91,MO,Median Home Value,9292,RGNN,1,0.6379888758140316,0.9997602780774302,0.9052293300666593,0.8912292982484051
92,MO,Median Home Value,9292,RGNN,2,0.6333722556711062,1.0,0.8985156784447237,0.8912292982484051
93,MO,Median Home Value,9292,RGNN,3,0.6804518996208003,0.9999400695193575,0.903113416166855,0.8912292982484051
94,MO,Median Home Value,9292,RGNN,4,0.6359487798356734,1.0,0.8927724835738264,0.8912292982484051
95,MO,Median Home Value,9292,RGNN,5,0.6688703079737952,1.0,0.9119350271250616,0.8912292982484051
96,MO,Median Home Value,9292,RGNN,6,0.6565154428408012,1.0,0.9054361487185196,0.8912292982484051
97,MO,Median Home Value,9292,RGNN,7,0.6522836818544184,0.999340764712933,0.9016815947308972,0.8912292982484051
98,MO,Median Home Value,9292,RGNN,8,0.6531351110790362,0.9973630588517319,0.896288400655456,0.8912292982484051
99,MO,Median Home Value,9292,RGNN,9,0.6399083509689749,0.9998801390387151,0.9076713810713206,0.8912292982484051
100,MO,Median Home Value,9292,Feat-LightGCN,0,0.6673171231308666,0.9977825722162292,0.9041713731167571,0.8912292982484051
101,MO,Median Home Value,9292,Feat-LightGCN,1,0.6748179468251241,0.9958647968356706,0.8987145425330513,0.8912292982484051
102,MO,Median Home Value,9292,Feat-LightGCN,2,0.690189746396643,0.9995804866355029,0.9015384125873014,0.8912292982484051
103,MO,Median Home Value,9292,Feat-LightGCN,3,0.7022353452648358,0.9999400695193575,0.9052213755031262,0.8912292982484051
104,MO,Median Home Value,9292,Feat-LightGCN,4,0.6891531715119151,0.9980822246194414,0.887275880172455,0.8912292982484051
105,MO,Median Home Value,9292,Feat-LightGCN,5,0.7045317779937971,0.9998801390387151,0.9096759310816614,0.8912292982484051
106,MO,Median Home Value,9292,Feat-LightGCN,6,0.7015880935575729,0.9998801390387151,0.8987940881683821,0.8912292982484051
107,MO,Median Home Value,9292,Feat-LightGCN,7,0.688878395780953,0.9944863957808942,0.8981736322128004,0.8912292982484051
