Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatAndEmbAndPostalCode,0,0.011785556562244892,0.008453911170363426,0.05515990033745766,0.028017902746796608
FeatAndEmbAndPostalCode,1,0.011664086952805519,0.008388844318687916,0.0549456924200058,0.027785709127783775
FeatAndEmbAndPostalCode,2,0.01221784669905901,0.00874877255409956,0.05686693638563156,0.028927724808454514
FeatAndEmbAndPostalCode,3,0.01199075672775507,0.008607280440628529,0.05570906400680542,0.028447862714529037
FeatAndEmbAndPostalCode,4,0.012097307480871677,0.008542732335627079,0.05620506778359413,0.02857142500579357
FeatAndEmbAndPostalCode,5,0.011708990670740604,0.008436357602477074,0.05507450923323631,0.02790863811969757
FeatAndEmbAndPostalCode,6,0.011775498278439045,0.008405368775129318,0.05503235012292862,0.027954738587141037
FeatAndEmbAndPostalCode,7,0.012226933613419533,0.008672347292304039,0.05626790598034859,0.02883470058441162
FeatAndEmbAndPostalCode,8,0.011362176388502121,0.008356315083801746,0.05393807590007782,0.027291512116789818
FeatAndEmbAndPostalCode,9,0.010945690795779228,0.008075909689068794,0.05281786248087883,0.02645226940512657
