Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatAndEmb,0,0.010127044282853603,0.007791375741362572,0.04868290573358536,0.024783151224255562
FeatAndEmb,1,0.009781276807188988,0.007424737326800823,0.04650907590985298,0.02377450093626976
FeatAndEmb,2,0.009444836527109146,0.0072677526623010635,0.04560030996799469,0.023100649937987328
FeatAndEmb,3,0.009314196184277534,0.007315260823816061,0.04527030512690544,0.02297591045498848
FeatAndEmb,4,0.011076845228672028,0.008099149912595749,0.05103455111384392,0.026357023045420647
FeatAndEmb,5,0.009845023974776268,0.007676220498979092,0.047816574573516846,0.024216152727603912
FeatAndEmb,6,0.010144388303160667,0.007670540362596512,0.04821629077196121,0.02463570609688759
FeatAndEmb,7,0.009850124828517437,0.007565711624920368,0.04702972248196602,0.024029189720749855
FeatAndEmb,8,0.009450971148908138,0.0072765289805829525,0.045384351164102554,0.02309030294418335
FeatAndEmb,9,0.009710963815450668,0.007512522395700216,0.0466768778860569,0.02381429262459278
