,urban_area,target_variable,target_entity,num_datapoints,model_embeddings,trial,train_f1,val_f1,test_f1,train_score,val_score,test_score
0,Philadelphia,Median Income,bg,29555,Emb,0,0.9424673784104389,0.2831858407079646,0.2743362831858407,0.9945890364360496,0.6129082152087085,0.6046675542329079
1,Philadelphia,Median Income,bg,29555,Emb,1,0.9406880189798339,0.30442477876106194,0.3415929203539823,0.9947573036208949,0.6151460568564493,0.6420119038295873
2,Philadelphia,Median Income,bg,29555,Emb,2,0.9578884934756821,0.2884955752212389,0.3168141592920354,0.9972077388353346,0.5947685801550631,0.6106625420941343
3,Philadelphia,Median Income,bg,29555,Emb,3,0.970344009489917,0.30619469026548674,0.2513274336283186,0.9989485650302188,0.6263724645626125,0.6082661132430103
4,Philadelphia,Median Income,bg,29555,Emb,4,0.9608540925266904,0.30796460176991153,0.2831858407079646,0.9982578676678469,0.6332093351084658,0.614284595504738
5,Philadelphia,Median Income,bg,29555,Emb,5,0.8997627520759194,0.2902654867256637,0.27079646017699116,0.9973283892794595,0.5974919727464953,0.6007831466833738
6,Philadelphia,Median Income,bg,29555,Emb,6,0.9756820877817319,0.3433628318584071,0.2991150442477876,0.998362554212018,0.6556523611872505,0.6230323439580234
7,Philadelphia,Median Income,bg,29555,Emb,7,0.9727164887307236,0.3008849557522124,0.3008849557522124,0.9982717086879942,0.6103434098206594,0.6194279113477955
8,Philadelphia,Median Income,bg,29555,Emb,8,0.9501779359430605,0.3238938053097345,0.3168141592920354,0.9957642342572747,0.6301080742423055,0.6132332210823087
9,Philadelphia,Median Income,bg,29555,Emb,9,0.9442467378410438,0.3185840707964602,0.30265486725663715,0.9963706379326707,0.6309245046597227,0.6214934607251938
10,Philadelphia,Median Income,bg,29555,RGNN,0,0.5960854092526691,0.36460176991150445,0.4088495575221239,0.8649042715270262,0.6895763176442948,0.7029133056621505
11,Philadelphia,Median Income,bg,29555,RGNN,1,0.6162514827995255,0.34690265486725663,0.368141592920354,0.8738328160175044,0.6761453520244343,0.6820776881509907
12,Philadelphia,Median Income,bg,29555,RGNN,2,0.5438908659549229,0.368141592920354,0.3911504424778761,0.830091656930076,0.6939227817370193,0.7112264077061634
13,Philadelphia,Median Income,bg,29555,RGNN,3,0.6103202846975089,0.3663716814159292,0.336283185840708,0.8687151378654244,0.6873952541310987,0.6662424622131725
14,Philadelphia,Median Income,bg,29555,RGNN,4,0.5806642941874258,0.34690265486725663,0.368141592920354,0.8633196120370122,0.6757459472159135,0.6911504424778763
15,Philadelphia,Median Income,bg,29555,RGNN,5,0.5456702253855279,0.336283185840708,0.384070796460177,0.8589702637643668,0.6814511708042916,0.6970318740700133
16,Philadelphia,Median Income,bg,29555,RGNN,6,0.5421115065243179,0.36106194690265486,0.36460176991150445,0.8417262786761721,0.687594956535359,0.6928381235805466
17,Philadelphia,Median Income,bg,29555,RGNN,7,0.5427046263345195,0.34690265486725663,0.3415929203539823,0.8495733678649909,0.6873678439971808,0.6715052079254444
18,Philadelphia,Median Income,bg,29555,RGNN,8,0.6530249110320284,0.3752212389380531,0.31504424778761064,0.8998871375701736,0.6891612499021067,0.6586733495183648
19,Philadelphia,Median Income,bg,29555,RGNN,9,0.5379596678529063,0.3327433628318584,0.31327433628318585,0.8697482706436688,0.6840668807267601,0.6568662385464797
20,Philadelphia,Median Income,bg,29555,Feat-RGNN,0,0.6559905100830368,0.3398230088495575,0.3734513274336283,0.8966509023208855,0.6815412326728796,0.686224449839455
21,Philadelphia,Median Income,bg,29555,Feat-RGNN,1,0.5824436536180309,0.368141592920354,0.3752212389380531,0.8635535020442708,0.6697901166888558,0.6891338397681885
22,Philadelphia,Median Income,bg,29555,Feat-RGNN,2,0.5320284697508897,0.3663716814159292,0.3663716814159292,0.824502715730762,0.6992677578510456,0.6930143315843058
23,Philadelphia,Median Income,bg,29555,Feat-RGNN,3,0.66429418742586,0.35929203539823007,0.3504424778761062,0.9023944512555493,0.691514605685645,0.6667280131568643
24,Philadelphia,Median Income,bg,29555,Feat-RGNN,4,0.5806642941874258,0.3327433628318584,0.35221238938053095,0.8654364069487439,0.6722452815412326,0.6793914950270186
25,Philadelphia,Median Income,bg,29555,Feat-RGNN,5,0.5860023724792408,0.3663716814159292,0.3787610619469027,0.8608255188426929,0.6909585715404496,0.6942791134779546
26,Philadelphia,Median Income,bg,29555,Feat-RGNN,6,0.5581257413997628,0.3823008849557522,0.336283185840708,0.8347116980842681,0.6924113086381078,0.6680985198527684
27,Philadelphia,Median Income,bg,29555,Feat-RGNN,7,0.6221826809015422,0.3823008849557522,0.35575221238938054,0.8796542548570182,0.6924230558383585,0.6727230010180907
28,Philadelphia,Median Income,bg,29555,Feat-RGNN,8,0.5800711743772242,0.38761061946902653,0.35575221238938054,0.858144304075941,0.6829195708356176,0.6857584775628475
29,Philadelphia,Median Income,bg,29555,Feat-RGNN,9,0.5160142348754448,0.38761061946902653,0.368141592920354,0.8105383811267421,0.7082621975095936,0.6948234004228991
30,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,0,0.6245551601423488,0.3769911504424779,0.38761061946902653,0.884612051589962,0.6826885425640222,0.7028349909938132
31,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,1,0.6002372479240806,0.35752212389380533,0.36283185840707965,0.8710483002403357,0.6838084423212467,0.6776489936565118
32,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,2,0.6103202846975089,0.368141592920354,0.3398230088495575,0.8815107727950207,0.695132743362832,0.6759143237528389
33,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,3,0.5640569395017794,0.40707964601769914,0.39646017699115044,0.8598455566544232,0.7082073772417573,0.7083679223118491
34,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,4,0.6785290628706999,0.36106194690265486,0.3823008849557522,0.9050581564940396,0.6815960529407157,0.6939462761375206
35,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,5,0.5812574139976275,0.3415929203539823,0.3823008849557522,0.8611803498721985,0.6864241522437152,0.6972981439423604
36,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,6,0.6103202846975089,0.3787610619469027,0.3663716814159292,0.8671416833671535,0.6966324692614926,0.6897133683138852
37,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,7,0.5919335705812574,0.38761061946902653,0.3309734513274336,0.8727343236617525,0.705767875323048,0.6697744537551884
38,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,8,0.5836298932384342,0.3663716814159292,0.34513274336283184,0.8858362959394412,0.69987469653066,0.6851672018169003
39,Philadelphia,Median Income,bg,29555,Feat\&PC-RGNN,9,0.6245551601423488,0.4088495575221239,0.3734513274336283,0.884386162731011,0.7165987939541075,0.6917299710235726
40,Philadelphia,Median Income,bg,29555,LightGCN,0,0.730723606168446,0.34690265486725663,0.3486725663716814,0.9313846472473364,0.6734278330331271,0.6819132273474822
41,Philadelphia,Median Income,bg,29555,LightGCN,1,0.6269276393831554,0.3734513274336283,0.34690265486725663,0.8880644086288779,0.696593311927324,0.693429399326494
42,Philadelphia,Median Income,bg,29555,LightGCN,2,0.6637010676156584,0.3238938053097345,0.3663716814159292,0.9097618063778208,0.6681298457201034,0.6940754953402772
43,Philadelphia,Median Income,bg,29555,LightGCN,3,0.6850533807829181,0.3787610619469027,0.36283185840707965,0.9189753738393293,0.7034419296734279,0.7014684000313258
44,Philadelphia,Median Income,bg,29555,LightGCN,4,0.7206405693950177,0.35221238938053095,0.36460176991150445,0.9215734351047031,0.6869801863889107,0.6920236510298379
45,Philadelphia,Median Income,bg,29555,LightGCN,5,0.7164887307236062,0.34513274336283184,0.3752212389380531,0.9300969188996268,0.6764155376301981,0.707561281227974
46,Philadelphia,Median Income,bg,29555,LightGCN,6,0.7093712930011863,0.4,0.35398230088495575,0.9211864188875024,0.6874853159996868,0.684607251938288
