,urban_area,target_variable,target_entity,num_datapoints,model_embeddings,trial,train_f1,val_f1,test_f1,train_score,val_score,test_score
0,Philadelphia,Median Income,bg,29555,Emb,0,0.9780805687203792,0.7198581560283688,0.6826241134751773,0.9965241122167068,0.7730999446707911,0.7525275388561943
1,Philadelphia,Median Income,bg,29555,Emb,1,0.9816350710900474,0.6737588652482269,0.7056737588652482,0.9982957480739426,0.7351994366480558,0.7799154972083899
2,Philadelphia,Median Income,bg,29555,Emb,2,0.9875592417061612,0.700354609929078,0.6985815602836879,0.9988011275577817,0.7474032996328154,0.7719807856747649
3,Philadelphia,Median Income,bg,29555,Emb,3,0.9899289099526066,0.6932624113475178,0.700354609929078,0.9980332315087261,0.772905034958,0.7575197424676827
4,Philadelphia,Median Income,bg,29555,Emb,4,0.9804502369668247,0.6843971631205674,0.7109929078014184,0.9987379551223018,0.7388461345002766,0.7663661284643629
5,Philadelphia,Median Income,bg,29555,Emb,5,0.9816350710900474,0.6968085106382979,0.675531914893617,0.9965746501650907,0.7450077963885117,0.72358030280167
6,Philadelphia,Median Income,bg,29555,Emb,6,0.9887440758293838,0.6985815602836879,0.700354609929078,0.9991619123559667,0.7719807856747648,0.7594751270056838
7,Philadelphia,Median Income,bg,29555,Emb,7,0.9863744075829384,0.7039007092198581,0.7198581560283688,0.9988390310190698,0.7645113424878024,0.7594939892359539
8,Philadelphia,Median Income,bg,29555,Emb,8,0.9875592417061612,0.6843971631205674,0.6985815602836879,0.9992075368927024,0.7389718827020775,0.7549796287913083
9,Philadelphia,Median Income,bg,29555,Emb,9,0.9822274881516587,0.6968085106382979,0.6861702127659575,0.9993065070416208,0.7544074744731151,0.7385946380966752
10,Philadelphia,Median Income,bg,29555,RGNN,0,0.7197867298578199,0.6719858156028369,0.6702127659574468,0.8469275735046382,0.8031160404406217,0.7872969166540918
11,Philadelphia,Median Income,bg,29555,RGNN,1,0.7600710900473934,0.6897163120567376,0.7287234042553191,0.8412420543114486,0.7587143503847895,0.8135657160102611
12,Philadelphia,Median Income,bg,29555,RGNN,2,0.7328199052132701,0.7145390070921985,0.7056737588652482,0.805763010714045,0.7673658266686787,0.7956591720738394
13,Philadelphia,Median Income,bg,29555,RGNN,3,0.7268957345971564,0.7198581560283688,0.6897163120567376,0.8205537836077357,0.7962753382626628,0.7690760022131683
14,Philadelphia,Median Income,bg,29555,RGNN,4,0.7648104265402843,0.675531914893617,0.7269503546099291,0.8535705060533232,0.750176047482521,0.8053166339721343
15,Philadelphia,Median Income,bg,29555,RGNN,5,0.7671800947867299,0.6773049645390071,0.7021276595744681,0.8468770355562543,0.755457471958151,0.7724083295608875
16,Philadelphia,Median Income,bg,29555,RGNN,6,0.7387440758293838,0.6843971631205674,0.6985815602836879,0.818589822780261,0.7582616568583068,0.7369976359338062
17,Philadelphia,Median Income,bg,29555,RGNN,7,0.7624407582938388,0.7163120567375887,0.723404255319149,0.8412209968329553,0.7855993159297822,0.773778984960515
18,Philadelphia,Median Income,bg,29555,RGNN,8,0.7748815165876777,0.6914893617021277,0.7198581560283688,0.8482008490375328,0.771842462652784,0.7817639957748606
