Model,seed,MAP@20,Precision@20,Recall@20,NDCG@20
FeatLightGCN,0,0.021206023171544075,0.012265941128134727,0.08231692016124725,0.04510972276329994
FeatLightGCN,1,0.021568337455391884,0.012395559810101986,0.08275727182626724,0.04561212658882141
FeatLightGCN,2,0.02143927663564682,0.012450295500457287,0.08323441445827484,0.04571806639432907
FeatLightGCN,3,0.021274540573358536,0.012324810028076172,0.08247362077236176,0.04528192803263664
FeatLightGCN,4,0.021305633708834648,0.01237232331186533,0.08278927206993103,0.04537029191851616
FeatLightGCN,5,0.02171490527689457,0.012621222995221615,0.08392999321222305,0.04619033634662628
FeatLightGCN,6,0.021946577355265617,0.01252517569810152,0.08408381044864655,0.04637179151177406
FeatLightGCN,7,0.021366078406572342,0.01244409941136837,0.08293592929840088,0.04552194103598595
FeatLightGCN,8,0.02135860174894333,0.012321715243160725,0.08257085829973221,0.045386333018541336
FeatLightGCN,9,0.021354692056775093,0.01243996899574995,0.08328326046466827,0.045539490878582
