,urban_area,target_variable,macroentity,n_quantiles,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_f1,val_f1,test_f1,train_to_test_f1,train_auc,val_auc,test_auc,train_to_test_auc
0,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,0,0.8812640707079129,0.8726242080693565,0.6725543478260869,0.765625,0.9695174826872897,0.9639974251969493,0.7482490178993384,0.765625
1,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,1,1.0,0.9936645548516172,0.7629076086956522,0.765625,1.0,0.9993992770076656,0.7733922716800568,0.765625
2,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,2,0.9420495288918536,0.9296432144048016,0.7404891304347826,0.765625,0.9867253314944726,0.9789568281053369,0.7696789343100189,0.765625
3,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,3,0.9978320687067456,0.9903301100366789,0.7608695652173914,0.765625,0.999969979181136,0.9987565420375712,0.77193388911862,0.765625
4,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,4,0.910280997248395,0.8969656552184061,0.7085597826086957,0.765625,0.9451535193399915,0.9401462113405298,0.7476241286625709,0.765625
5,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,5,0.9895772533978154,0.9753251083694565,0.7581521739130435,0.765625,0.9992444961932756,0.9956568307129771,0.775922288516068,0.765625
6,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,6,0.9563912282164596,0.9493164388129376,0.7370923913043478,0.765625,0.9942549394515722,0.9894665830934144,0.7702207511224007,0.765625
7,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,7,0.9618944384224131,0.952650883627876,0.751358695652174,0.765625,0.9941794947780083,0.9924272202847351,0.7748884983459357,0.765625
8,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,8,1.0,0.9913304434811604,0.764266304347826,0.765625,1.0,0.9988700226671521,0.77841723032845,0.765625
9,Philadelphia,Median Income,zip,2,14992,189,1472,Emb,9,0.9558909363795547,0.9513171057019006,0.7432065217391305,0.765625,0.9921573781930947,0.9903522149004413,0.7690881970699432,0.765625
10,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,0,0.9939131159843242,0.9873291097032344,0.7608695652173914,0.765625,0.9997137753517359,0.9992814503114198,0.7922137139650285,0.765625
11,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,1,0.9946635537396815,0.9889963321107036,0.7595108695652174,0.765625,0.9996737274585631,0.9987816526449679,0.7896735438327033,0.765625
12,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,2,0.9939131159843242,0.9876625541847283,0.7595108695652174,0.765625,0.9996846907958344,0.9986469245783591,0.787077992084121,0.765625
13,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,3,0.9908279829900776,0.9836612204068023,0.7595108695652174,0.765625,0.9994205740342991,0.9980674490230526,0.7902781264768433,0.765625
14,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,4,0.9972483948970232,0.9893297765921975,0.7629076086956522,0.765625,0.9999113570388672,0.9991254748077831,0.7863811067462192,0.765625
15,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,5,0.9951638455765863,0.9883294431477159,0.7574728260869565,0.765625,0.9997931462893361,0.9988700226671521,0.7889314301748582,0.765625
16,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,6,0.9935795880930542,0.98432810936979,0.7615489130434783,0.765625,0.9997702833518312,0.9984605266080688,0.7846116641068053,0.765625
17,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,7,0.9919119486367047,0.9846615538512837,0.7574728260869565,0.765625,0.9994301782801731,0.9984030619488342,0.7945028207703213,0.765625
18,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,8,0.9946635537396815,0.9886628876292097,0.7601902173913043,0.765625,0.9997788909306804,0.9988813707301103,0.785878980092155,0.765625
19,Philadelphia,Median Income,zip,2,14992,189,1472,LightGCN,9,0.9962478112232135,0.9929976658886296,0.7635869565217391,0.765625,0.9999039877432909,0.9993823756373024,0.7894280186672967,0.765625
20,Philadelphia,Median Income,zip,2,14992,189,1472,Feat-LightGCN,0,0.9959976653047611,0.9896632210736912,0.7615489130434783,0.765625,0.9998540939879957,0.9995663591261122,0.7977786433719282,0.765625
21,Philadelphia,Median Income,zip,2,14992,189,1472,Feat-LightGCN,1,1.0,0.9893297765921975,0.764266304347826,0.765625,1.0,0.9986976286894484,0.802664224952741,0.765625
22,Philadelphia,Median Income,zip,2,14992,189,1472,Feat-LightGCN,2,0.9709830734595181,0.9556518839613204,0.7506793478260869,0.765625,0.9960277986742275,0.9932191702103207,0.8008209401583177,0.765625
